"","Player","Pos","School","Ht","Wt","X40yd","X3Cone","Shuttle","YearDrafted"
"340","Jerrell Jackson","WR","Missouri","6-0",196,4.5,6.82,4.11,2012
"341","Alshon Jeffery","WR","South Carolina","6-3",216,4.48,NA,NA,2012
"342","A.J. Jenkins","WR","Illinois","6-0",190,4.37,NA,NA,2012
"343","Dwight Jones","WR","North Carolina","6-3",230,4.51,NA,NA,2012
"344","Marvin Jones","WR","California","6-2",199,4.46,6.81,4.11,2012
"345","Jermaine Kearse","WR","Washington","6-1",209,4.5,7.03,4.12,2012
"346","Keshawn Martin","WR","Michigan State","5-11",188,4.42,6.85,4.13,2012
"347","Rishard Matthews","WR","Nevada","6-0",217,4.54,6.88,4.19,2012
"348","Marquis Maze","WR","Alabama","5-8",186,4.51,NA,NA,2012
"349","Marvin McNutt","WR","Iowa","6-3",216,4.48,7.15,4.07,2012
"350","Kashif Moore","WR","Connecticut","5-9",180,4.36,6.82,4.05,2012
"351","Derek Moye","WR","Penn State","6-4",209,4.46,NA,4.23,2012
"352","Chris Owusu","WR","Stanford","6-0",196,4.36,6.85,4.11,2012
"353","Eric Page","WR","Toledo","5-9",186,4.5,6.95,3.98,2012
"354","DeVier Posey","WR","Ohio State","6-2",211,4.39,7.03,4.15,2012
"355","Brian Quick","WR","Appalachian State","6-3",220,4.5,7.1,4.23,2012
"356","Rueben Randle","WR","LSU","6-3",210,4.55,6.99,4.36,2012
"357","Gerell Robinson","WR","Arizona State","6-3",227,4.54,NA,4.15,2012
"358","James Rodgers","WR","Oregon State","5-7",184,4.61,NA,4.23,2012
"359","Mohamed Sanu","WR","Rutgers","6-1",211,4.62,6.88,4.22,2012
"360","Tommy Streeter","WR","Miami (FL)","6-5",219,4.37,7.08,NA,2012
"361","Nick Toon","WR","Wisconsin","6-2",215,4.49,NA,NA,2012
"362","Jordan White","WR","West. Michigan","6-0",208,4.63,6.84,4.13,2012
"363","Jarius Wright","WR","Arkansas","5-10",182,4.39,6.93,4.03,2012
"364","Kendall Wright","WR","Baylor","5-10",196,4.49,6.93,4.18,2012
"365","Devon Wylie","WR","Fresno State","5-9",187,4.36,NA,NA,2012
"366","Keenan Allen","WR","California","6-2",206,4.58,NA,NA,2013
"367","Tavon Austin","WR","West Virginia","5-8",174,4.34,NA,4.01,2013
"368","Stedman Bailey","WR","West Virginia","5-10",193,4.52,6.81,4.09,2013
"369","Alan Bonner","WR","Jacksonville State","5-10",193,4.59,NA,4.15,2013
"370","Josh Boyce","WR","TCU","5-11",206,4.38,6.68,4.1,2013
"371","Marlon Brown","WR","Georgia","6-4",213,4.63,NA,NA,2013
"372","Marcus Davis","WR","Virginia Tech","6-3",233,4.56,7.15,NA,2013
"373","Aaron Dobson","WR","Marshall","6-3",210,4.37,NA,NA,2013
"374","Corey Fuller","WR","Virginia Tech","6-2",204,4.43,NA,NA,2013
"375","Tyrone Goard","WR","East. Kentucky","6-4",205,4.5,6.9,4.39,2013
"376","Marquise Goodwin","WR","Texas","5-9",183,4.27,NA,NA,2013
"377","Cobi Hamilton","WR","Arkansas","6-2",212,4.56,NA,4.31,2013
"378","Chris Harper","WR","Kansas State","6-1",229,4.55,6.89,4.39,2013
"379","Mark Harrison","WR","Rutgers","6-3",231,4.46,6.99,4.33,2013
"380","DeAndre Hopkins","WR","Clemson","6-1",214,4.57,NA,4.5,2013
"381","Justin Hunter","WR","Tennessee","6-4",196,4.44,NA,4.33,2013
"382","Darius Johnson","WR","SMU","5-9",179,4.6,NA,4.53,2013
"383","Brandon Kaufman","WR","East. Washington","6-5",216,4.67,7.11,4.44,2013
"384","Tavarres King","WR","Georgia","6-0",189,4.47,6.91,4.33,2013
"385","Alec Lemon","WR","Syracuse","6-1",202,4.59,7.04,4.29,2013
"386","Aaron Mellette","WR","Elon","6-2",217,4.54,7.11,4.41,2013
"387","T.J. Moe","WR","Missouri","5-11",204,4.74,6.53,3.96,2013
"388","Cordarrelle Patterson","WR","Tennessee","6-2",216,4.42,NA,NA,2013
"389","Quinton Patton","WR","Louisiana Tech","6-0",204,4.53,6.91,4.01,2013
"390","Denard Robinson","WR","Michigan","5-10",199,4.43,7.09,4.22,2013
"391","Da'Rick Rogers","WR","Tennessee Tech","6-2",217,4.5,6.71,4.06,2013
"392","Lanear Sampson","WR","Baylor","5-11",204,4.46,7.1,4.38,2013
"393","Ace Sanders","WR","South Carolina","5-7",173,4.58,6.81,4.37,2013
"394","Rodney Smith","WR","Florida State","6-4",225,4.51,7.03,4.07,2013
"395","Ryan Spadola","WR","Lehigh","6-1",204,4.48,6.72,4.07,2013
"396","Kenny Stills","WR","Oklahoma","6-0",194,4.38,NA,4.35,2013
"397","Ryan Swope","WR","Texas A&M","6-0",205,4.34,6.76,4.25,2013
"398","Kenbrell Thompkins","WR","Cincinnati","6-1",193,4.54,6.88,4.21,2013
"399","Conner Vernon","WR","Duke","6-0",196,4.68,6.93,4.22,2013
"400","Markus Wheaton","WR","Oregon State","5-11",189,4.45,6.8,4.02,2013
"401","Terrance Williams","WR","Baylor","6-2",208,4.52,7.01,4.32,2013
"402","Marquess Wilson","WR","Washington State","6-3",194,4.51,6.65,4.33,2013
"403","Robert Woods","WR","USC","6-0",201,4.51,7.15,4.47,2013
"404","Jared Abbrederis","WR","Wisconsin","6-1",195,4.5,6.8,4.08,2014
"405","Davante Adams","WR","Fresno State","6-1",212,4.56,6.82,4.3,2014
"406","Dri Archer","WR","Kent State","5-8",173,4.26,6.86,4.06,2014
"407","Kelvin Benjamin","WR","Florida State","6-5",240,4.61,7.33,4.39,2014
"408","Chris Boyd","WR","Vanderbilt","6-4",206,4.73,NA,NA,2014
"409","John Brown","WR","Pittsburg State","5-10",179,4.34,6.91,4.12,2014
"410","Corey Brown","WR","Ohio State","5-11",178,4.51,7.16,4.22,2014
"411","Martavis Bryant","WR","Clemson","6-4",211,4.42,7.18,4.15,2014
"412","Isaiah Burse","WR","Fresno State","5-10",188,4.58,6.74,3.94,2014
"413","Trey Burton","WR","Florida","6-2",224,4.62,7.14,4.32,2014
"414","Michael Campanaro","WR","Wake Forest","5-9",192,4.46,6.77,4.01,2014
"415","Brandon Coleman","WR","Rutgers","6-6",225,4.56,7.33,4.51,2014
"416","Kain Colter","WR","Northwestern","5-10",198,4.71,NA,NA,2014
"417","Brandin Cooks","WR","Oregon State","5-10",189,4.33,6.76,3.81,2014
"418","Damian Copeland","WR","Louisville","5-11",184,4.5,6.53,3.9,2014
"419","Mike Davis","WR","Texas","6-0",197,4.52,NA,NA,2014
"420","Bruce Ellington","WR","South Carolina","5-9",197,4.45,6.69,3.95,2014
"421","Quincy Enunwa","WR","Nebraska","6-2",225,4.41,NA,NA,2014
"422","Mike Evans","WR","Texas A&M","6-5",231,4.53,7.08,4.26,2014
"423","Shaquelle Evans","WR","UCLA","6-1",213,4.51,7.07,4.21,2014
"424","Bennie Fowler","WR","Michigan State","6-1",217,4.52,7.06,4.18,2014
"425","Austin Franklin","WR","New Mexico State","5-11",189,4.56,7.07,4.33,2014
"426","Jeremy Gallon","WR","Michigan","5-7",185,4.49,NA,NA,2014
"427","Ryan Grant","WR","Tulane","6-0",199,4.64,6.68,4.11,2014
"428","Matt Hazel","WR","Coastal Carolina","6-1",198,4.5,7.08,4.2,2014
"429","Robert Herron","WR","Wyoming","5-9",193,4.48,6.84,4.27,2014
"430","Cody Hoffman","WR","BYU","6-4",223,4.65,6.89,4.2,2014
"431","Josh Huff","WR","Oregon","5-11",206,4.51,NA,NA,2014
"432","Allen Hurns","WR","Miami (FL)","6-1",198,4.55,7.23,4.5,2014
"433","Jeff Janis","WR","Saginaw Valley State","6-3",219,4.42,6.64,3.98,2014
"434","T.J. Jones","WR","Notre Dame","6-0",188,4.46,6.82,4.27,2014
"435","Odell Beckham, Jr.","WR","LSU","5-11",198,4.38,6.69,3.94,2014
"436","Jarvis Landry","WR","LSU","5-11",205,4.65,NA,NA,2014
"437","Cody Latimer","WR","Indiana","6-2",215,4.52,NA,NA,2014
"438","Marqise Lee","WR","USC","6-0",192,4.52,NA,4.01,2014
"439","Marcus Lucas","WR","Missouri","6-4",218,4.6,7.07,4.25,2014
"440","Jordan Matthews","WR","Vanderbilt","6-3",212,4.46,6.95,4.18,2014
"441","Donte Moncrief","WR","Mississippi","6-2",221,4.4,7.02,4.3,2014
"442","Kevin Norwood","WR","Alabama","6-2",198,4.48,6.68,4.32,2014
"443","Tevin Reese","WR","Baylor","5-10",163,4.46,6.63,4.18,2014
"444","Paul Richardson","WR","Colorado","6-0",175,4.4,7.09,NA,2014
"445","Allen Robinson","WR","Penn State","6-3",220,4.6,7,4,2014
"446","Jalen Saunders","WR","Oklahoma","5-9",165,4.44,NA,NA,2014
"447","Willie Snead","WR","Ball State","5-11",195,4.62,7.19,4.39,2014
"448","Josh Stewart","WR","Oklahoma State","5-10",178,4.69,7.1,4.33,2014
"449","Devin Street","WR","Pittsburgh","6-3",198,4.55,6.89,4.01,2014
"450","L'Damian Washington","WR","Missouri","6-4",195,4.46,7.19,4.35,2014
"451","Sammy Watkins","WR","Clemson","6-1",211,4.43,6.95,4.34,2014
"452","Albert Wilson","WR","Georgia State","5-9",202,4.43,7,4.21,2014
"453","Nelson Agholor","WR","USC","6-0",198,4.42,NA,NA,2015
"454","Mario Alford","WR","West Virginia","5-8",180,4.43,6.64,4.07,2015
"455","Dres Anderson","WR","Utah","6-1",187,4.54,NA,NA,2015
"456","Kenny Bell","WR","Nebraska","6-1",197,4.42,6.66,4.15,2015
"457","Da'Ron Brown","WR","Northern Illinois","6-0",205,4.54,7.04,4.11,2015
"458","Kaelin Clay","WR","Utah","5-10",195,4.51,6.97,4.26,2015
"459","Sammie Coates","WR","Auburn","6-1",212,4.43,6.98,4.06,2015
"460","Chris Conley","WR","Georgia","6-2",213,4.35,7.06,4.3,2015
"461","Amari Cooper","WR","Alabama","6-1",211,4.42,6.71,3.98,2015
"462","Jamison Crowder","WR","Duke","5-8",185,4.56,7.17,4.32,2015
"463","DaVaris Daniels","WR","Notre Dame","6-1",201,4.62,NA,NA,2015
"464","Devante Davis","WR","UNLV","6-3",220,4.57,7.25,4.12,2015
"465","Geremy Davis","WR","Connecticut","6-2",216,4.49,6.86,4.18,2015
"466","Titus Davis","WR","Central Michigan","6-1",196,4.51,7.14,4.28,2015
"467","Stefon Diggs","WR","Maryland","6-0",195,4.46,7.03,4.32,2015
"468","Phillip Dorsett","WR","Miami (FL)","5-10",185,4.33,6.7,4.11,2015
"469","Devin Funchess","WR","Michigan","6-4",232,4.7,NA,NA,2015
"470","Antwan Goodley","WR","Baylor","5-10",209,4.44,NA,NA,2015
"471","Dorial Green-Beckham","WR","Oklahoma","6-5",237,4.49,6.89,4.45,2015
"472","Rashad Greene","WR","Florida State","5-11",182,4.53,6.88,4.12,2015
"473","Rannell Hall","WR","Central Florida","6-0",198,4.6,6.86,4.15,2015
"474","Justin Hardy","WR","East Carolina","5-10",192,4.56,6.63,4.21,2015
"475","Josh Harper","WR","Fresno State","6-1",191,4.64,7.15,4.36,2015
"476","Chris Jones","WR","Alabama","5-10",182,4.63,6.91,4.19,2015
"477","Dez Lewis","WR","Central Arkansas","6-4",214,4.58,7.11,4.28,2015
"478","Tony Lippett","WR","Michigan State","6-2",192,4.61,6.92,4.13,2015
"479","Tyler Lockett","WR","Kansas State","5-10",182,4.4,6.89,4.07,2015
"480","Deon Long","WR","Maryland","6-0",192,4.51,6.98,4.27,2015
"481","Donatella Luckett","WR","Harding","6-0",211,4.4,7.51,4.5,2015
"482","Vince Mayle","WR","Washington State","6-2",224,4.67,6.93,4.13,2015
"483","Tre McBride","WR","William & Mary","6-0",210,4.41,6.96,4.08,2015
"484","Ty Montgomery","WR","Stanford","6-0",221,4.55,6.97,4.21,2015
"485","Keith Mumphery","WR","Michigan State","6-0",215,4.54,7.07,4.25,2015
"486","J.J. Nelson","WR","Ala-Birmingham","5-10",156,4.28,7.02,4.15,2015
"487","DeVante Parker","WR","Louisville","6-3",209,4.45,NA,NA,2015
"488","Breshad Perriman","WR","Central Florida","6-2",212,NA,NA,NA,2015
"489","Ezell Ruffin","WR","San Diego State","6-0",218,4.68,7.35,4.58,2015
"490","Ross Scheuerman","WR","Lafayette","6-0",204,4.62,7.08,4.11,2015
"491","DeAndre Smelter","WR","Georgia Tech","6-2",226,4.52,NA,NA,2015
"492","Devin Smith","WR","Ohio State","6-0",196,4.42,NA,4.15,2015
"493","Jaelen Strong","WR","Arizona State","6-2",217,4.44,NA,NA,2015
"494","Darren Waller","WR","Georgia Tech","6-6",238,4.46,7.07,4.25,2015
"495","DeAndrew White","WR","Alabama","5-11",193,4.44,6.97,4.18,2015
"496","Kevin White","WR","West Virginia","6-3",215,4.35,6.92,4.14,2015
"497","Cam Worthy","WR","East Carolina","6-2",211,4.59,NA,NA,2015
"498","Bralon Addison","WR","Oregon","5-9",197,4.66,6.95,4.14,2016
"499","Geronimo Allison","WR","Illinois","6-3",196,4.67,7.4,4.28,2016
"500","Demarcus Ayers","WR","Houston","5-9",182,4.72,NA,NA,2016
"501","Tyler Boyd","WR","Pittsburgh","6-1",197,4.58,6.9,4.35,2016
"502","Chris Brown","WR","Notre Dame","6-2",194,4.48,NA,NA,2016
"503","Aaron Burbridge","WR","Michigan State","6-0",206,4.56,7.22,4.31,2016
"504","Devon Cajuste","WR","Stanford","6-4",234,4.62,6.49,4.2,2016
"505","Leonte Carroo","WR","Rutgers","6-0",211,4.5,NA,NA,2016
"506","Corey Coleman","WR","Baylor","5-11",194,4.42,NA,NA,2016
"507","Pharoh Cooper","WR","South Carolina","5-11",203,4.52,NA,NA,2016
"508","Cody Core","WR","Mississippi","6-3",205,4.47,NA,NA,2016
"509","Trevor Davis","WR","California","6-1",188,4.42,6.6,4.22,2016
"510","Josh Doctson","WR","TCU","6-2",202,4.5,6.84,4.08,2016
"511","D.J. Foster","WR","Arizona State","5-10",193,4.57,6.75,4.07,2016
"512","Will Fuller","WR","Notre Dame","6-0",186,4.32,6.93,4.27,2016
"513","Keyarris Garrett","WR","Tulsa","6-3",220,4.53,7.3,4.33,2016
"514","Rashard Higgins","WR","Colorado State","6-1",196,4.64,NA,NA,2016
"515","Johnny Holton","WR","Cincinnati","6-1",190,4.54,NA,NA,2016
"516","Cayleb Jones","WR","Arizona","6-3",209,4.65,6.99,4.14,2016
"517","Kenny Lawler","WR","California","6-2",203,4.64,7.13,4.2,2016
"518","Roger Lewis","WR","Bowling Green","6-0",201,4.57,NA,NA,2016
"519","Kolby Listenbee","WR","TCU","6-0",197,4.39,NA,NA,2016
"520","Ricardo Louis","WR","Auburn","6-2",215,4.43,NA,NA,2016
"521","Byron Marshall","WR","Oregon","5-9",201,4.42,NA,NA,2016
"522","Jalin Marshall","WR","Ohio State","5-10",200,4.6,6.8,4.13,2016
"523","Mekale McKay","WR","Cincinnati","6-4",207,4.55,7.08,4.63,2016
"524","Braxton Miller","WR","Ohio State","6-1",201,4.5,6.65,4.07,2016
"525","Malcolm Mitchell","WR","Georgia","6-0",198,4.45,6.94,4.34,2016
"526","Chris Moore","WR","Cincinnati","6-1",206,4.53,6.76,4.2,2016
"527","Marquez North","WR","Tennessee","6-2",223,4.48,6.9,4.13,2016
"528","Jordan Payton","WR","UCLA","6-1",207,4.47,7.08,4.33,2016
"529","Charone Peake","WR","Clemson","6-2",209,4.45,6.96,4.46,2016
"530","Demarcus Robinson","WR","Florida","6-1",203,4.59,6.77,4.19,2016
"531","Alonzo Russell","WR","Toledo","6-4",206,4.54,7.18,4.33,2016
"532","Rashawn Scott","WR","Miami (FL)","6-1",199,4.54,NA,NA,2016
"533","Hunter Sharp","WR","Utah State","5-11",198,4.58,7.12,4.19,2016
"534","Tajae Sharpe","WR","Massachusetts","6-2",194,4.55,NA,NA,2016
"535","Sterling Shepard","WR","Oklahoma","5-10",194,4.48,7,4.35,2016
"536","Nelson Spruce","WR","Colorado","6-1",206,4.69,7.09,4.2,2016
"537","Michael Thomas","WR","Ohio State","6-3",212,4.57,6.8,4.13,2016
"538","Laquon Treadwell","WR","Mississippi","6-2",221,4.52,NA,NA,2016
"539","Duke Williams","WR","Auburn","6-2",229,4.72,7.43,4.47,2016
"540","De'Runnya Wilson","WR","Mississippi State","6-5",224,4.85,NA,NA,2016
"541","Rodney Adams","WR","South Florida","6-1",189,4.44,6.98,4.28,2017
"542","Quincy Adeboyejo","WR","Mississippi","6-3",197,4.42,6.73,4.14,2017
"543","Kendrick Bourne","WR","East. Washington","6-1",203,4.68,6.73,4.21,2017
"544","Noah Brown","WR","Ohio State","6-2",222,NA,7.07,4.33,2017
"545","K.D. Cannon","WR","Baylor","5-11",182,4.41,NA,NA,2017
"546","Jehu Chesson","WR","Michigan","6-3",204,4.47,6.7,4.09,2017
"547","Stacy Coley","WR","Miami (FL)","6-1",195,4.45,NA,NA,2017
"548","Amara Darboh","WR","Michigan","6-2",214,4.45,NA,NA,2017
"549","Corey Davis","WR","West. Michigan","6-3",209,NA,NA,NA,2017
"550","Robert Davis","WR","Georgia State","6-3",219,4.44,6.82,4.28,2017
"551","Malachi Dupre","WR","LSU","6-2",196,4.52,7.19,4.26,2017
"552","Travin Dural","WR","LSU","6-1",202,4.57,7.29,4.55,2017
"553","Amba Etta-Tawo","WR","Syracuse","6-1",208,4.49,6.95,4.32,2017
"554","Isaiah Ford","WR","Virginia Tech","6-1",194,4.61,6.94,4.34,2017
"555","Shelton Gibson","WR","West Virginia","5-11",191,4.5,6.83,4.2,2017
"556","Chris Godwin","WR","Penn State","6-1",209,4.42,7.01,4,2017
"557","Kenny Golladay","WR","Northern Illinois","6-4",218,4.5,7,4.15,2017
"558","Chad Hansen","WR","California","6-2",202,4.53,6.74,4.13,2017
"559","Keon Hatcher","WR","Arkansas","6-1",212,4.64,NA,NA,2017
"560","Carlos Henderson","WR","Louisiana Tech","5-11",199,4.46,7.18,4.35,2017
"561","Mack Hollins","WR","North Carolina","6-4",221,4.53,NA,NA,2017
"562","Bug Howard","WR","North Carolina","6-4",221,4.58,6.95,4.14,2017
"563","Zay Jones","WR","East Carolina","6-2",201,4.45,6.79,4.01,2017
"564","Victor Bolden Jr.","WR","Oregon State","5-8",178,4.54,6.83,4.22,2017
"565","Greg Ward Jr.","WR","Houston","5-11",186,NA,NA,NA,2017
"566","Cooper Kupp","WR","East. Washington","6-2",204,4.62,6.75,4.08,2017
"567","Jerome Lane","WR","Akron","6-2",226,4.6,6.87,4.12,2017
"568","Keevan Lucas","WR","Tulsa","5-9",192,4.55,7.23,4.43,2017
"569","Josh Malone","WR","Tennessee","6-3",208,4.4,7.05,4.19,2017
"570","Gabe Marks","WR","Washington State","5-11",189,4.56,7.01,4.2,2017
"571","Isaiah McKenzie","WR","Georgia","5-7",173,4.42,6.64,4.15,2017
"572","Drew Morgan","WR","Arkansas","6-0",190,4.74,6.85,4.12,2017
"573","Speedy Noil","WR","Texas A&M","5-11",199,NA,NA,NA,2017
"574","Zach Pascal","WR","Old Dominion","6-2",219,4.55,7.11,4.29,2017
"575","James Quick","WR","Louisville","6-0",186,4.6,7,4.39,2017
"576","Michael Rector","WR","Stanford","6-0",193,4.42,6.77,4.19,2017
"577","Josh Reynolds","WR","Texas A&M","6-3",194,4.52,6.83,4.13,2017
"578","Jalen Robinette","WR","Air Force","6-3",220,4.62,6.77,4.46,2017
"579","Darreus Rogers","WR","USC","6-1",216,NA,7.22,4.54,2017
"580","Fred Ross","WR","Mississippi State","6-1",213,4.51,6.99,4.28,2017
"581","John Ross","WR","Washington","5-11",188,4.22,NA,NA,2017
"582","Travis Rudolph","WR","Florida State","6-0",189,4.65,6.93,4.46,2017
"583","Curtis Samuel","WR","Ohio State","5-11",196,4.31,7.09,4.33,2017
"584","Artavis Scott","WR","Clemson","5-10",193,4.61,7.19,4.49,2017
"585","Ricky Seals-Jones","WR","Texas A&M","6-5",243,4.69,7.46,4.33,2017
"586","JuJu Smith-Schuster","WR","USC","6-1",215,4.54,NA,NA,2017
"587","Jamari Staples","WR","Louisville","6-3",195,4.51,NA,NA,2017
"588","ArDarius Stewart","WR","Alabama","5-11",204,4.49,NA,NA,2017
"589","Ryan Switzer","WR","North Carolina","5-8",181,4.51,6.77,4,2017
"590","Taywan Taylor","WR","Western Kentucky","5-11",203,4.5,6.57,4.21,2017
"591","Trent Taylor","WR","Louisiana Tech","5-8",181,4.63,6.74,4.01,2017
"592","Noel Thomas","WR","Connecticut","6-0",205,4.63,NA,NA,2017
"593","Dede Westbrook","WR","Oklahoma","6-0",178,NA,NA,NA,2017
"594","Kermit Whitfield","WR","Florida State","5-8",185,4.44,7.17,4.37,2017
"595","Mike Williams","WR","Clemson","6-4",218,NA,NA,NA,2017
"596","Jesus Wilson","WR","Florida State","5-9",189,4.57,NA,4.57,2017
"597","Dante Pettis","WR","Washington","6-0",186,NA,NA,NA,2018
"598","Marcell Ateman","WR","Oklahoma State","6-4",216,4.62,7.07,4.25,2018
"599","Braxton Berrios","WR","Miami (FL)","5-9",184,NA,NA,NA,2018
"600","Equanimeous St. brown","WR","Notre Dame","6-5",214,4.48,NA,NA,2018
"601","Deontay Burnett","WR","USC","6-0",186,NA,NA,NA,2018
"602","Deon Cain","WR","Clemson","6-2",202,4.43,6.71,4.37,2018
"603","Antonio Callaway","WR","Florida","5-11",200,4.41,NA,NA,2018
"604","Dylan Cantrell","WR","Texas Tech","6-3",226,4.59,6.56,4.03,2018
"605","D.J. Chark","WR","LSU","6-3",199,4.34,NA,NA,2018
"606","Simmie Cobbs","WR","Indiana","6-3",220,4.64,6.7,4.32,2018
"607","Keke Coutee","WR","Texas Tech","5-10",181,4.43,6.93,4.15,2018
"608","Robert Foster","WR","Alabama","6-2",196,4.41,6.9,4.2,2018
"609","Michael Gallup","WR","Colorado State","6-1",205,4.51,6.95,4.37,2018
"610","Davon Grayson","WR","East Carolina","6-1",199,4.51,NA,NA,2018
"611","Daesean Hamilton","WR","Penn State","6-1",203,NA,6.84,4.15,2018
"612","Quadree Henderson","WR","Pittsburgh","5-8",192,4.5,6.89,4.28,2018
"613","Darren Carrington II","WR","Utah","6-2",199,NA,NA,NA,2018
"614","Richie James","WR","Middle Tennessee State","5-10",183,4.48,6.87,4.16,2018
"615","Christian Kirk","WR","Texas A&M","5-10",201,4.47,7.09,4.45,2018
"616","Chris Lacy","WR","Oklahoma State","6-3",205,4.51,NA,NA,2018
"617","Jordan Lasley","WR","UCLA","6-1",203,4.5,NA,4.19,2018
"618","Allen Lazard","WR","Iowa State","6-5",227,4.55,NA,NA,2018
"619","Tavares Martin","WR","Washington State","6-1",177,4.8,NA,NA,2018
"620","Ray-ray McCloud","WR","Clemson","5-9",190,4.53,NA,NA,2018
"621","Anthony Miller","WR","Memphis","5-11",201,NA,NA,NA,2018
"622","Steven Mitchell","WR","USC","5-10",189,4.56,6.75,4.4,2018
"623","Jmon Moore","WR","Missouri","6-3",207,4.6,6.56,4.04,2018
"624","D.J. Moore","WR","Maryland","6-0",210,4.42,6.95,4.07,2018
"625","Cam Phillips","WR","Virginia Tech","6-0",201,NA,NA,NA,2018
"626","Byron Pringle","WR","Kansas State","6-1",203,4.46,6.87,4.4,2018
"627","Trey Quinn","WR","SMU","5-11",203,4.55,6.91,4.19,2018
"628","Calvin Ridley","WR","Alabama","6-0",189,4.43,6.88,4.41,2018
"629","Korey Robertson","WR","Southern Miss","6-1",212,4.56,NA,NA,2018
"630","Jaleel Scott","WR","New Mexico State","6-5",218,4.56,7.2,4.4,2018
"631","Trequan Smith","WR","Central Florida","6-2",203,4.49,6.97,4.5,2018
"632","Courtland Sutton","WR","SMU","6-3",218,4.54,6.57,4.11,2018
"633","Auden Tate","WR","Florida State","6-5",228,4.68,NA,NA,2018
"634","Marquez Valdes-Scantling","WR","South Florida","6-4",206,4.37,NA,NA,2018
"635","James Washington","WR","Oklahoma State","5-11",213,4.54,7.11,4.32,2018
"636","Jester Weah","WR","Pittsburgh","6-2",211,4.43,7.24,4.41,2018
"637","Karaun White","WR","West Virginia","6-1",206,4.52,7.16,4.57,2018
"638","Jake Wieneke","WR","South Dakota State","6-4",221,4.67,7.24,4.37,2018
"639","Cedrick Wilson","WR","Boise State","6-2",197,4.55,6.89,4.23,2018
"640","Javon Wims","WR","Georgia","6-3",215,4.53,7,NA,2018
"641","J.J. Arcega-Whiteside","WR","Stanford","6-2",225,NA,NA,NA,2019
"642","Miles Boykin","WR","Notre Dame","6-4",220,4.42,6.77,4.07,2019
"643","Tyre Brady","WR","Marshall","6-3",211,NA,NA,4.25,2019
"644","A.J. Brown","WR","Mississippi","6-0",226,4.49,NA,NA,2019
"645","Marquise Brown","WR","Oklahoma","5-9",166,NA,NA,NA,2019
"646","Emmanuel Butler","WR","Northern Arizona","6-3",217,NA,NA,4.22,2019
"647","Hakeem Butler","WR","Iowa State","6-5",227,4.48,NA,NA,2019
"648","Parris Campbell","WR","Ohio State","6-0",205,4.31,NA,4.03,2019
"649","Jamal Custis","WR","Syracuse","6-4",214,4.5,NA,NA,2019
"650","Felton Davis","WR","Michigan State","6-3",211,NA,NA,NA,2019
"651","Ryan Davis","WR","Auburn","5-10",189,NA,7.09,4.23,2019
"652","Johnnie Dixon","WR","Ohio State","5-10",201,4.41,NA,4.43,2019
"653","Greg Dortch","WR","Wake Forest","5-7",173,NA,NA,NA,2019
"654","Keelan Doss","WR","UC Davis","6-2",211,NA,NA,NA,2019
"655","Ashton Dulin","WR","Malone University (Ohio)","6-1",215,4.43,7,4.22,2019
"656","Jovon Durante","WR","Florida Atlantic","5-11",160,4.55,7,4.31,2019
"657","Jazz Ferguson","WR","Northwestern St. (LA)","6-5",227,4.45,7.25,4.59,2019
"658","Travis Fulgham","WR","Old Dominion","6-2",215,4.58,NA,NA,2019
"659","Terry Godwin","WR","Georgia","5-11",184,4.55,6.96,NA,2019
"660","Emanuel Hall","WR","Missouri","6-2",201,4.39,NA,NA,2019
"661","Mecole Hardman","WR","Georgia","5-10",187,4.33,NA,NA,2019
"662","Kelvin Harmon","WR","North Carolina State","6-2",221,4.6,7.15,4.32,2019
"663","N'Keal Harry","WR","Arizona State","6-2",228,4.53,NA,NA,2019
"664","Lil'Jordan Humphrey","WR","Texas","6-4",210,4.75,7.09,4.29,2019
"665","Jalen Hurd","WR","Baylor","6-5",226,NA,NA,NA,2019
"666","Andy Isabella","WR","Massachusetts","5-9",188,4.31,6.95,4.15,2019
"667","Gary Jennings","WR","West Virginia","6-1",214,4.42,7.32,4.15,2019
"668","Anthony Johnson","WR","Buffalo","6-2",209,NA,7.12,NA,2019
"669","Diontae Johnson","WR","Toledo","5-10",183,4.53,7.09,4.45,2019
"670","Keesean Johnson","WR","Fresno State","6-1",201,4.6,7.28,4.23,2019
"671","Bisi Johnson","WR","Colorado State","6-0",204,4.51,6.88,4.16,2019
"672","Damarkus Lodge","WR","Mississippi","6-2",202,4.55,7.06,4.53,2019
"673","Terry McLaurin","WR","Ohio State","6-0",208,4.35,7.01,4.15,2019
"674","D.K. Metcalf","WR","Mississippi","6-3",228,4.33,7.38,4.5,2019
"675","Jakobi Meyers","WR","North Carolina State","6-2",203,4.63,7.07,4.23,2019
"676","Dillon Mitchell","WR","Oregon","6-1",197,4.46,NA,4.29,2019
"677","Stanley Morgan","WR","Nebraska","6-0",202,4.53,6.78,4.13,2019
"678","Nyqwan Murray","WR","Florida State","5-10",191,4.63,7.2,4.4,2019
"679","Hunter Renfrow","WR","Clemson","5-10",184,4.59,6.8,4.19,2019
"680","Riley Ridley","WR","Georgia","6-1",199,4.58,7.22,4.28,2019
"681","Deebo Samuel","WR","South Carolina","5-11",214,4.48,7.03,4.14,2019
"682","David Sills","WR","West Virginia","6-3",211,4.57,6.97,4.28,2019
